infeasible
<swapped_courses>
CS21,DIS1
<forced_courses>


<course_restrict>
CS11,FALSE,$,Computer Science 1
CS21,FALSE,$,Computer Science 2
DIS1,FALSE,$,Discrete Math
ORG1,FALSE,$,Computer Organization
PRL1,FALSE,$,Programming Languages
ALG1,FALSE,$,Algorithms
SYS1,FALSE,$,Computer Systems
CAP1,FALSE,$,Capstone
ARI1,FALSE,$,A.I.
TOC1,FALSE,$,Theory of Computation
DAT1,FALSE,$,Database Management

<faculty_restrict>
Prof_1,FALSE,ALG1,CAP1,PRL1,OPR1,EXP1,$
Prof_2,FALSE,CS11,TOC1,$
Prof_3,FALSE,DIS1,$
Prof_4,FALSE,NUA1,$
Prof_5,FALSE,CS21,ORG1,DAT1,SYS1,ARI1,$
